记录编号,建筑面积,朝向,楼层,装修,电梯,建筑结构,建筑类别,区域,学校,总价,单价,房龄,室,厅,卫
SH90001,104.66平米,南,高层,毛坯,有 ,平层,板楼,城关,附件无学校,191.0万,18250.0,2.0,2,2,1
SH90002,48.86平米,南北,中层,简装修,无 ,平层,板楼,城关,附件有学校,63.0万,12894.0,2.0,1,1,1
SH97376,94.66平米,南,中层,毛坯,有 ,平层,板楼,安宁,附件无学校,110.0万,11621.0,7.0,3,2,1
SH90008,92.5平米,南,中层,精装修,无 ,平层,板楼,安宁,附件无学校,133.8万,14465.0,8.0,2,2,1
SH90015,60平米,北,高层,精装修,无 ,平层,钢混,城关,附件有学校,70.0万,11667.0,19.0,2,1,1
SH90016,110平米,南北,高层,毛坯,有 ,平层,塔板结合,城关,附件无学校,102.0万,9273.0,5.0,3,2,2
SH90018,56.8平米,南,低层,精装修,无 ,平层,板楼,城关,附件有学校,66.0万,11620.0,19.0,1,1,1
SH90023,85平米,西南,高层,简装修,有 ,平层,钢混,城关,附件有学校,200.0万,23529.0,18.0,2,1,1
SH90025,133平米,南北,中层,精装修,有 ,平层,塔板结合,城关,附件无学校,133.0万,10000.0,5.0,3,2,2
SH90027,96.67平米,南,高层,中装修,无 ,平层,板楼,安宁,附件有学校,109.0万,11275.0,18.0,2,2,1
SH90028,75平米,南北,中层,精装修,无 ,平层,板楼,城关,附件有学校,78.0万,10400.0,22.0,2,2,1
SH90030,137平米,南北,中层,精装修,有 ,平层,板楼,城关,附件无学校,172.0万,12555.0,14.0,3,2,2
SH90032,108平米,南北,高层,精装修,有 ,平层,板楼,安宁,附件无学校,76.0万,7037.0,1.0,3,2,1
SH90037,156平米,南北,高层,精装修,有 ,平层,钢混,城关,附件无学校,248.0万,15897.0,15.0,3,2,2
SH90039,126平米,南北,高层,中装修,有 ,平层,板楼,安宁,附件无学校,175.0万,13889.0,7.0,3,2,1
SH97495,132.8平米,南北,中层,简装修,有 ,平层,板楼,城关,附件有学校,185.0万,13931.0,6.0,3,2,2
SH90045,96.62平米,南北,低层,毛坯,无 ,平层,板楼,安宁,附件无学校,120.0万,12420.0,8.0,2,2,2
SH90047,125.93平米,南北,高层,精装修,无 ,平层,平房,城关,附件无学校,138.0万,10958.0,16.0,3,2,1
SH90049,65平米,西南,中层,简装修,无 ,平层,钢混,城关,附件无学校,70.0万,10769.0,20.0,2,1,1
SH90050,116.07平米,南,中层,简装修,有 ,平层,塔板结合,安宁,附件无学校,143.0万,12320.0,7.0,3,2,2
SH90055,66.41平米,南北,高层,简装修,有 ,平层,板楼,城关,附件无学校,107.0万,16112.0,2.0,2,1,1
SH90058,65平米,东西,低层,精装修,无 ,平层,砖混,城关,附件有学校,88.0万,13538.0,27.0,3,1,1
SH90063,91.85平米,东西,高层,简装修,无 ,平层,钢混,城关,附件有学校,108.0万,11758.0,17.0,2,2,1
SH90067,82平米,南北,中层,简装修,无 ,平层,钢混,城关,附件有学校,92.0万,11220.0,19.0,2,2,1
SH90068,126.02平米,南北,中层,精装修,有 ,平层,板楼,城关,附件无学校,235.0万,18648.0,17.0,3,2,2
SH90072,108.48平米,南北,低层,中装修,有 ,平层,钢混,城关,附件有学校,173.0万,15948.0,16.0,3,2,1
SH90073,85.77平米,南北,高层,简装修,有 ,平层,板楼,城关,附件有学校,76.0万,8861.0,20.0,2,1,1
SH97306,131.18平米,南北,中层,毛坯,有 ,平层,板楼,安宁,附件无学校,179.8万,13706.0,7.0,3,2,2
SH90076,69平米,南北,低层,精装修,有 ,平层,板楼,城关,附件有学校,90.0万,13043.0,14.0,2,1,1
SH90077,75平米,南北,高层,简装修,无 ,平层,板楼,城关,附件有学校,95.0万,12667.0,17.0,2,1,1
SH90078,133平米,南,高层,简装修,有 ,平层,板楼,城关,附件有学校,155.0万,11654.0,12.0,3,2,2
SH90080,103平米,南北,高层,简装修,无 ,平层,板楼,城关,附件有学校,130.0万,12621.0,20.0,3,2,1
SH90083,60平米,北,高层,简装修,无 ,平层,板楼,城关,附件有学校,116.0万,19333.0,13.0,2,1,1
SH90084,107平米,南,高层,精装修,有 ,平层,板楼,城关,附件无学校,155.0万,14486.0,10.0,2,2,1
SH90085,80平米,南北,中层,精装修,有 ,平层,板楼,城关,附件有学校,83.0万,10375.0,18.0,2,1,1
SH90086,93.8平米,南,高层,精装修,无 ,平层,砖混,城关,附件有学校,136.0万,14499.0,14.0,2,2,1
SH90087,185平米,南北,低层,豪华装修,有 ,平层,塔板结合,城关,附件无学校,200.0万,10811.0,5.0,3,2,3
SH90089,92.81平米,南,低层,精装修,有 ,平层,平房,城关,附件有学校,108.0万,11637.0,20.0,2,1,1
SH90091,141平米,东南,低层,简装修,有 ,平层,板楼,城关,附件有学校,215.0万,15248.0,18.0,3,2,2
SH90092,128.34平米,南北,低层,简装修,有 ,平层,塔楼,城关,附件有学校,156.0万,12155.0,14.0,3,2,2
